Sample,Population,Symbiodinium,Breviolum,Cladocopium,Durusdinium
BA_01,Banco de San Antonio,0,0.000610874,0.999389126,0
BA_02,Banco de San Antonio,0,0.001015916,0.998306807,0.000677277
GS_04,Guanahacabibes,0.001006543,0.000503271,0.998490186,0
GS_06,Guanahacabibes,0,0,1,0
GS_09,Guanahacabibes,0,0,1,0
GS_10,Guanahacabibes,0,0.000948947,0.998481685,0.000569368
GS_11,Guanahacabibes,0,0.001069519,0.998930481,0
GS_12,Guanahacabibes,0,0,0.998805257,0.001194743
GS_13,Guanahacabibes,0,0.00047521,0.99952479,0
GS_14,Guanahacabibes,0,0.000684932,0.99890411,0.000410959
GS_15,Guanahacabibes,0,0.00209205,0.9972106,0.00069735
GS_16,Guanahacabibes,0,0,0.967741935,0.032258065
GS_17,Guanahacabibes,0.000775795,0.00155159,0.994569434,0.003103181
GS_18,Guanahacabibes,0.002685079,0.000383583,0.996164173,0.000767165
IJ_19,Isla de la Juventud,0,0.001026694,0.983572895,0.015400411
IJ_20,Isla de la Juventud,0.000448632,0.000149544,0.60490504,0.394496785
IJ_21,Isla de la Juventud,0,0.000126904,0.997969543,0.001903553
CJ_86,Cayo Jutias,0,0,1,0
CJ_88,Cayo Jutias,0,0,1,0
CJ_89,Cayo Jutias,0,0,1,0
CJ_90,Cayo Jutias,0.004901961,0,0.995098039,0
CJ_91,Cayo Jutias,0,0,1,0
CJ_93,Cayo Jutias,0,0,1,0
CJ_94,Cayo Jutias,0,0,1,0
CJ_96,Cayo Jutias,0,0.00059988,0.99925015,0.00014997
CA_22,Cayo Anclitas,0.000182415,0.00036483,0.998723094,0.000729661
CA_23,Cayo Anclitas,0,0,0.998779744,0.001220256
CA_24,Cayo Anclitas,0,0.001393243,0.998258447,0.000348311
CA_25,Cayo Anclitas,0,0,0.997232472,0.002767528
CA_26,Cayo Anclitas,0.000391696,0.000587544,0.998824912,0.000195848
CA_27,Cayo Anclitas,0,0.000563063,0.998310811,0.001126126
CA_28,Cayo Anclitas,0,0,0.999717115,0.000282885
CA_30,Cayo Anclitas,0,0.000748023,0.998931396,0.000320581
CA_31,Cayo Anclitas,0,0,0.998950131,0.001049869
CA_32,Cayo Anclitas,0,0.000353482,0.999293036,0.000353482
CA_33,Cayo Anclitas,0,0.000849618,0.999150382,0
CA_34,Cayo Anclitas,0,0.000371287,0.999133663,0.00049505
CA_35,Cayo Anclitas,0,0,1,0
CA_36,Cayo Anclitas,0.00039984,0.0009996,0.9980008,0.00059976
CS_69,Cayo Sabinal,0,0,1,0
CS_70,Cayo Sabinal,0,0.000547945,0.999452055,0
CS_71,Cayo Sabinal,0,0,0.999223301,0.000776699
CS_73,Cayo Sabinal,0,0,1,0
CS_74,Cayo Sabinal,0,0,1,0
CS_75,Cayo Sabinal,0,0.003467707,0.99609883,0.000433463
CS_76,Cayo Sabinal,0,0.000426985,0.998719044,0.000853971
CS_77,Cayo Sabinal,0,0.001396648,0.998603352,0
CS_78,Cayo Sabinal,0.005235602,0,0.994764398,0
CS_81,Cayo Sabinal,0,0,0.999678353,0.000321647
CS_82,Cayo Sabinal,0,0.000702905,0.997500781,0.001796314
CS_83,Cayo Sabinal,0,0,1,0
CO_37,Chivirico,0,0,1,0
CO_38,Chivirico,0,0.001477105,0.998100865,0.00042203
CO_41,Chivirico,0,0,0.99943836,0.00056164
CO_44,Chivirico,0,0.000222321,0.999555358,0.000222321
CO_45,Chivirico,0,0,0.998732037,0.001267963
CO_46,Chivirico,0,0,0.999672668,0.000327332
CO_47,Chivirico,0,0,1,0
CO_48,Chivirico,0,0.000572738,0.999427262,0
CO_49,Chivirico,0.000226912,0.000680735,0.998865441,0.000226912
CO_50,Chivirico,0,0.000246427,0.998521439,0.001232134
CO_51,Chivirico,0,0,0.997983871,0.002016129
CL_52,Cabo Lucrecia,0,0,1,0
CL_53,Cabo Lucrecia,0,0,0.988372093,0.011627907
CL_54,Cabo Lucrecia,0,0,1,0
CL_55,Cabo Lucrecia,0.000415282,0.000830565,0.99833887,0.000415282
CL_56,Cabo Lucrecia,0,0,1,0
CL_57,Cabo Lucrecia,0,0,1,0
CL_58,Cabo Lucrecia,0,0.000542005,0.998373984,0.001084011
CL_59,Cabo Lucrecia,0.000198965,0.000198965,0.999204138,0.000397931
CL_60,Cabo Lucrecia,0,0.001677852,0.996644295,0.001677852
CL_61,Cabo Lucrecia,0,0,1,0
CL_62,Cabo Lucrecia,0.027027027,0,0.972972973,0
CL_63,Cabo Lucrecia,0,0.006872852,0.989690722,0.003436426
CL_65,Cabo Lucrecia,0,0,1,0
CL_66,Cabo Lucrecia,0,0,1,0
CL_67,Cabo Lucrecia,0,0.004705882,0.995294118,0
CL_68,Cabo Lucrecia,0,0,1,0
