Sample,Population,Cluster1,Cluster2
Cuba_01,Banco de San Antonio,0.6715,0.3285
Cuba_02,Banco de San Antonio,0.6518,0.3482
Cuba_06,Guanahacabibes,0.6449,0.3551
Cuba_04,Guanahacabibes,0.6381,0.3619
Cuba_13,Guanahacabibes,0.6358,0.3642
Cuba_12,Guanahacabibes,0.6231,0.3769
Cuba_18-1,Guanahacabibes,0.6203,0.3797
Cuba_11,Guanahacabibes,0.6186,0.3814
Cuba_14,Guanahacabibes,0.6173,0.3827
Cuba_16,Guanahacabibes,0.615,0.385
Cuba_17,Guanahacabibes,0.6081,0.3919
Cuba_15,Guanahacabibes,0.5881,0.4119
Cuba_10,Guanahacabibes,0.586,0.414
Cuba_09,Guanahacabibes,0.4926,0.5074
Cuba_20,Isla de la Juventud,0.6391,0.3609
Cuba_21,Isla de la Juventud,0.582,0.418
Cuba_19,Isla de la Juventud,0.5343,0.4657
Cuba_96,Cayo Jutias,0.6625,0.3375
Cuba_93,Cayo Jutias,0.6471,0.3529
Cuba_89,Cayo Jutias,0.6467,0.3533
Cuba_86,Cayo Jutias,0.6104,0.3896
Cuba_94,Cayo Jutias,0.6053,0.3947
Cuba_91,Cayo Jutias,0.5802,0.4198
Cuba_90,Cayo Jutias,0.5699,0.4301
Cuba_88,Cayo Jutias,0.5444,0.4556
Cuba_34,Cayo Anclitas,0.6469,0.3531
Cuba_36,Cayo Anclitas,0.6439,0.3561
Cuba_32,Cayo Anclitas,0.6435,0.3565
Cuba_31,Cayo Anclitas,0.6418,0.3582
Cuba_35,Cayo Anclitas,0.6407,0.3593
Cuba_25,Cayo Anclitas,0.6353,0.3647
Cuba_23,Cayo Anclitas,0.6294,0.3706
Cuba_30,Cayo Anclitas,0.6234,0.3766
Cuba_28,Cayo Anclitas,0.6148,0.3852
Cuba_24,Cayo Anclitas,0.6129,0.3871
Cuba_27,Cayo Anclitas,0.602,0.398
Cuba_33,Cayo Anclitas,0.5988,0.4012
Cuba_26,Cayo Anclitas,0.5864,0.4136
Cuba_22,Cayo Anclitas,0.5452,0.4548
Cuba_78,Cayo Sabinal,0.6738,0.3262
Cuba_75,Cayo Sabinal,0.6687,0.3313
Cuba_73,Cayo Sabinal,0.6669,0.3331
Cuba_77,Cayo Sabinal,0.6653,0.3347
Cuba_69,Cayo Sabinal,0.6608,0.3392
Cuba_81,Cayo Sabinal,0.6567,0.3433
Cuba_83,Cayo Sabinal,0.6531,0.3469
Cuba_70,Cayo Sabinal,0.6503,0.3497
Cuba_74,Cayo Sabinal,0.6354,0.3646
Cuba_76,Cayo Sabinal,0.6278,0.3722
Cuba_82,Cayo Sabinal,0.6277,0.3723
Cuba_71,Cayo Sabinal,0.5513,0.4487
Cuba_38,Chivirico,0.6631,0.3369
Cuba_51,Chivirico,0.6571,0.3429
Cuba_37,Chivirico,0.6538,0.3462
Cuba_48,Chivirico,0.6504,0.3496
Cuba_41,Chivirico,0.6328,0.3672
Cuba_47,Chivirico,0.6214,0.3786
Cuba_44,Chivirico,0.6152,0.3848
Cuba_49,Chivirico,0.5993,0.4007
Cuba_45,Chivirico,0.5863,0.4137
Cuba_46,Chivirico,0.5643,0.4357
Cuba_50,Chivirico,0.5349,0.4651
Cuba_54,Cabo Lucrecia,0.6752,0.3248
Cuba_58,Cabo Lucrecia,0.6724,0.3276
Cuba_59,Cabo Lucrecia,0.671,0.329
Cuba_65,Cabo Lucrecia,0.6709,0.3291
Cuba_63,Cabo Lucrecia,0.6686,0.3314
Cuba_66,Cabo Lucrecia,0.6664,0.3336
Cuba_56,Cabo Lucrecia,0.6605,0.3395
Cuba_55,Cabo Lucrecia,0.6604,0.3396
Cuba_62,Cabo Lucrecia,0.6482,0.3518
Cuba_57,Cabo Lucrecia,0.6455,0.3545
Cuba_68,Cabo Lucrecia,0.6433,0.3567
Cuba_53,Cabo Lucrecia,0.6382,0.3618
Cuba_67,Cabo Lucrecia,0.6262,0.3738
Cuba_60,Cabo Lucrecia,0.6241,0.3759
Cuba_61-1,Cabo Lucrecia,0.6201,0.3799
Cuba_52,Cabo Lucrecia,0.5879,0.4121
